Accés QUIZZ,https://app.wooclap.com/MUSZZI/questionnaires/68d0f7636b9421df3b1ec7d7,,,,,,
,,,,,,,
Type,Title,Correct,Choice,Choice,Choice,Choice,Choice
MCQ,Quelle attitude est à éviter lors de la communication avec une personne atteinte de démence?,4,Valoriser ses émotions et sentiments,Poser des questions auxquelles elle peut répondre par oui ou non,Utiliser des gestes et des mots simples,Critiquer ou infantiliser,
MCQ,Comment établir un contact physique avec une personne atteinte de démence?,"1,3,5","Toucher le bras sans le serrer, dans un endroit neutre",Touchez rapidement l'épaule sans prévenir,Approcher calmement,Éviter tout contact physique,"Annoncer le contact, demander le consentement"
MCQ,Quel est un aspect essentiel de la communication avec un patient présentant un trouble neurocognitif?,1,Adapter son discours et son attitude,Parler rapidement pour couvrir la perte de mémoire,Utiliser uniquement le langage non verbal,"Employez un discours long, détaillé, car cela aide la compréhension",
MCQ,Quelle stratégie est recommandée pour capter l'attention du patient?,2,Hausser la voix et parler en utilisant des phrases longues,Regarder la personne droit dans les yeux et maintenir le contact visuel,Parler de loin pour ne pas l'intimider,Favoriser les interruptions pour inciter le patient à se concentrer,
MCQ,Cochez une bonne pratique lors de la communication avec une personne présentant des troubles cognitifs?,2,Parler en utilisant un vocabulaire complexe,Laisser au patient le temps de formuler sa réponse,Donner toutes les informations détaillées en une seule fois.,"Corriger ses erreurs dès que possible, afin qu'il/elle s'en rende compte rapidement",
Matching,Associez les définitions aux différentes échelles,,Echelle QDSA --- A utiliser auprès des patients adultes ou adolescents communicants. C’est une échelle verbale multidimensionnelle qui permet par une auto-évaluation de faire ressortir les aspects sensoriels et les aspects affectifs de la douleur. Ce questionnaire contient 58 mots répartis en 16 catégories proposant des dimensions qui permettent de décrire l’expérience douloureuse.,"Echelle ECPA --- Evaluation comportementale de la douleur chez la personne âgée non communicante (avant et pendant les soins); C’est une échelle comportementale d’hétéro-évaluation de la douleur chez la personne âgée non communicante. Elle est utilisée en seconde intention après l’échec de l’autoévaluation. Elle évite une sous-estimation de la douleur en permettant de dépister, de quantifier et de suivre l’évolution de la douleur du patient. C’est une échelle rapide qui permet des mesures répétées et rapprochées.","Echelle DOLOPLUS --- Evaluation comportementale de la douleur chez la personne âgée non communicante: C’est une échelle comportementale d’hétéro-évaluation de la douleur chez la personne âgée non communicante. (Peut être utilisée indépendamment de l’âge faute d’un outil plus spécifique). Elle est utilisée en seconde intention après l’échec de l’autoévaluation. Elle évite une sous-estimation de la douleur en permettant de dépister, de quantifier et de suivre l’évolution de la douleur du patient.",Echelle ALGOPLUS --- Evaluation comportementale de la douleur aiguë chez la personne âgée non communicante: C’est une échelle comportementale d’hétéro-évaluation de la douleur aiguë chez la personne âgée non communicante.,
OpenQuestion,Quels sont les 5 items d’observation à examiner lors de l’évaluation avec ALGOPLUS ?,,"Visage Froncement des sourcils, grimaces, crispation, mâchoires serrées, visage figé. 2 • Regard Regard inattentif, fixe, lointain ou suppliant, pleurs, yeux fermés. 3 • Plaintes « Aie », « Ouille », « J’ai mal », gémissements, cris. 4 • Corps Retrait ou protection d’une zone, refus de mobilisation, attitudes figées. 5 • Comportements Agitation ou agressivité, agrippement.",,,,
MCQ,Quel score indique la présence probable de douleur selon l’échelle ALGOPLUS ?,1,Un score supérieur ou égal à deux.,Un score de zéro.,Un score supérieur à cinq.,Un score inférieur à un.,
MCQ,Que doit faire le professionnel si un changement de comportement est observé chez une personne âgée ?,"1,4",Initier une évaluation clinique complète.,Attribuer le changement au vieillissement normal.,Utiliser les réserves d’antalgie et/ou de sédation.,Évoquer la présence d’une douleur.,
MCQ,Quelle est la sensibilité de l’échelle ALGOPLUS pour diagnostiquer une douleur ?,2,70%.,87%.,50%.,95%.,
MCQ,"Dans l'item d'observation ""Regard"" de l’échelle ALGOPLUS, quel comportement n'en fait pas partie",4,Regard inattentif,Pleurs,Regard lointain ou suppliant,Froncement des sourcils.,
MCQ,"Dans l'item d'observation ""Corps"" de l’échelle ALGOPLUS, Il est nécessaire que tous les comportements soient présents pour coter « oui » l’item :",2,VRAI,FAUX,,,
MCQ,"Selon l’échelle ALGOPLUS, que doit faire le soignant en cas d’observation d’un comportement comme s’agripper à la barrière du lit ?","1,2",Coter l’item « comportements » « oui »,Rechercher d’autres causes comme la peur de tomber,Cela ne fait pas partie de l'échelle ALGOPLUS et ne peut être donc pas être pris en compte,Considérer cela comme de l'anxiété nécessitant l'administration les sédatifs en réserve,
MCQ,Quelle est la fréquence minimale recommandée pour l’évaluation de la douleur lors de l’admission d’un patient?,1,Une fois toutes les 12 heures (J1 et J2),Une fois toutes les 24 heures,Une fois par jour,À chaque changement de position uniquement,
MCQ,Combien d'items comporte l'échelle DOLOPLUS?,2,12 items,10 items,8 items,15 items,
MCQ,Quel est le score seuil indiquant la présence de douleur selon l'échelle DOLOPLUS?,1,Un score supérieur ou égal à 5/30,Un score inférieur à 3/30,Un score exact de 10/30,Un score supérieur à 15/30,
MCQ,Quels groupes d'items sont évalués dans l'échelle DOLOPLUS?,1,"Somatiques, psychomoteurs, psychosociaux","Sensoriels, cognitifs, émotionnels","Physiques, psychologiques, sociaux","Moteurs, sensoriels, affectifs",
MCQ,Quelle est la cotation maximale pour un item dans l'échelle DOLOPLUS?,2,5,3,6,4,
MCQ,Quels sont les deux dimensions regroupées dans l'échelle ECPA?,1,Avant et pendant les soins,Intensité et localisation de la douleur,Chronologie et cause de la douleur,Physique et psychologique,
MCQ,Pourquoi est-il important de coter la dimension 'avant les soins' en premier?,4,Pour accélérer la procédure,Pour pouvoir donner automatiquement un antalgique avant les soins,Parce que cette cotation est plus facile,Pour éviter une contamination possible entre les observations avant et pendant les soins,
MCQ,Dans quel contexte l'ECPA n'est pas adaptée?,1,Chez les patients sédatés en réanimation ou en état végétatif chronique,Chez les patients aphasiques post-AVC,Chez les patients en unité de soins palliatifs,Chez les patients jeunes,
MCQ,Que permet la comparaison des scores globaux de l'ECPA?,3,Évaluer la mémoire,Comparer la douleur entre patients pour prioriser les soins,Ajuster la thérapeutique antalgique,Evaluer l’efficacité des traitements médicamenteux grâce à la mesure de la Pression Artérielle,
MCQ,Quelle dimension de la douleur le QDSA cherche-t-il à explorer à travers ses mots?,2,Les antécédents médicaux du patient,Les aspects sensoriels et affectifs,Les traitements antérieurs de la douleur,Les causes biologiques de la douleur,
MCQ,Quelles sont les recommandations pour l'utilisation du QDSA ?,"1,3",Il n'est pas indiqué en cas de douleur intense,Il doit être utilisé en priorité,Il nécessite un bon niveau de compréhension et un vocabulaire assez riche,Il doit être réalisé par un médecin uniquement,
MCQ,Quel est le but principal de la mise en place d'actions thérapeutiques après l'évaluation de la douleur?,2,Doivent se baser uniquement sur l'expérience du patient,Doivent être réfléchies et en interdisciplinarité,Doivent réduire la charge administrative,Doivent être proposées uniquement par le médecin traitant,
MCQ,Quelle est la démarche recommandée si la douleur est sévère et qu'elle a nécessité une thérapeutique?,3,Réévaluer la douleur dans un délai de 30 minutes,"Il est n'est pas nécessaire de réévaluer la douleur si la personne dit se ""sentir mieux""",Réévaluer la douleur dans un délai maximum de 90 minutes,Réévaluer la douleur dans un délai maximum de 3 heures,
MCQ,Quelle est une caractéristique clé qu’un outil d’évaluation de la douleur pour les patients âgés devrait avoir?,3,Exige des mesures de paramêtres vitaux plus développés,Se fie uniquement aux rapports des proches aidants,Ne pas être pas sujet à l'interprétation des soignants,Est exclusivement utilisé par des professionnels de la santé,
