0,,,,,,,,,,,,,,,,,
10,Signes vitaux,,X,Etape 9,« Je vais faire quelques examens supplémentaires » ou,Décide de prendre au minimum la pression artérielle – la pulsation et la température tympanique,"Images pour résultat :

Voir Dossier ""Dictionnaire Images",Résultats des paramètres vitaux :,"Une fois les paramêtres pris (min 4 sur 5)

Faire apparaitre le texte suivant :

""L'ensemble des paramêtres vitaux sont normaux chez Mme Aubry""

""Cliquer sur l'icône : OUI (= passe à l'étape suivante)

ou

""Cliquer sur l'icône : NON (= passe à l'étape suivante)","Etape facultative
Donc si étudiant n'a pas demandé spontanément les paramêtres, faire apparaitre les valeurs à la fin de l'étape 12 (= averitr la référente) en faisant apparaitre le texte suivant :

""Si vous aviez pris les paramêtres vitaux, voici les valeurs que vous auriez obtenues : TA 138/79, FC 90 bpm, régulier, FR 20 rpm, SpO2 97%, T° 36.7""

Cliquez sur « J’ai compris » pour passer à l’étape suivante","Si les paramètres ne sont pas pris, la patiente dit « Donnez-moi ce téléphone pour que j’appelle mon mari ! » è Faire apparaitre une image d’un thermomètre tympanique éteint",,,,,,
,,,,,« Je vais contrôler vos signes vitaux » ou,,Pulsation avec photo d’une main qui prend la pulsation au niveau de l'artère radiale,TA 138/79 mmHg ,,,"Si décide de prendre les signes vitaux, consigne à afficher :",,,,,,
,,,,,« Je vais mesurer vos paramètres vitaux »,,SpO2 avec un saturomètre,FC 90 bpm ; régulière,,,"Consigne : « Ecrivez les paramètres vitaux que vous désirez prendre"" et en fonction des paramètres demandés faire apparaitre les différentes images « Paramètres vitaux »",,,,,,
,,,,,"pas le but d'avoir la refelcion, donc des que l'etudiant a dit ""signe vitaux prendre etc.."" ca affiche tout",,T° avec un thermomètre tympanique SANS affichage de la température,FR 20 rpm ,,,,,,,,,
,,,,,,,T° avec un thermomètre tympanique AVEC affichage de la température,SpO2 97% AA ,,,,,,,,,
,,,,,,,,T° 36.7°C,,,,,,,,,
11,Echelle Algoplus,X,,Etape 9 ou 10 ,"« Au vu de la situation, Madame n’est pas en mesure d’évaluer sa douleur, je vais donc utiliser une échelle  d’observation comportementale de la douleur aiguë , dans ce cas, Algoplus.",Verbalise la nécessité d’utiliser une échelle adaptée à la situation et cite l’échelle Algoplus,"Image Echelle Algoplus

Voir Dossier ""Dictionnaire Images
+ PDF déposé sur équipe ""TEAMS MX Colloboration HES-SO Santé"": Fichiers : Projet Chatbot",Réponse aux items de l’échelle :,"Si l'étudiant-e écrit/verbalise l'utilisation d'une autre échelle que l'ALGOPLUS (p.ex : échelle DOLOPLUS, ECPA, QDSA), faire apparaitre le texte suivant :

""L’échelle ALGOPLUS a été spécifiquement développée
pour évaluer et permettre la prise en charge
des douleurs aiguës chez un patient âgé pour tous
les cas où une auto évaluation fiable n’est pas
praticable (troubles de la communication verbale).
L’utilisation d’ALGOPLUS est ainsi particulièrement
recommandée pour le dépistage et l’évaluation des :
• pathologies douloureuses aiguës (ex : fractures, zona,
post-op, ischémie, lumbago, rétentions urinaires…),
• accès douloureux transitoires (ex : névralgies
faciales, poussées douloureuses sur cancer…),
• douleurs provoquées par les soins ou les actes
médicaux diagnostiques.

Cliquez sur « J’ai compris, je vais utiliser cette échelle et je vais calculer le score ALGOPLUS, afin de pouvoir passer à l'étape suivante » 

Calcul du Score ALGOPLUS
- Si indique que le score est à 1/5 ==> doit recommencer l'évaluation
- Si indique que le score est à 2/5 ==> doit recommencer l'évaluation
- Si indique que le score est à 3/5 ==> doit recommencer l'évaluation
- Si indique que le score est à 4/5 ==> Afficher ""le score est exact - Cliquez sur cet icône pour continuer""
- Si indique que le score est à 5/5 ==> doit recommencer l'évaluation","Après toujours échaec après la 4ème tentative pour attribuer un score, Affciher le texte suivant :

""le score ALGOPLUS est de 4/5""

Cliquez sur « J’ai compris » pour passer à l’étape suivante",Afficher l’échelle Algoplus lorsque l’étudiant-e cite l’outil.,"RAG:
Rappel de l'approche (journaliste/enquêteur)",,,,,
,,,,,Chez la personne âgée non communicante. Pour cela je vais utiliser l’échelle Algoplus »,,echelle_algoplus_outils.pdf,1 Visage,,,"Consigne : ""Compléter les différents items de l'échelle ALGOPLUS en posant directement les questions au chatbot""",,,,,,
,,,,,"faut le mot algolplus poru faire afficher, et ca affiche tout , si définir d'une autre echelle, mettre un texte en caption pour dire que l'echelle choisie n'est pas la désirée et faut reproposer une",,,"Froncement des sourcils, grimaces, crispation,",,,,"Expliquer pourquoi les autres échelles d’hétéroévaluation ne sont pas indiquées dans cette situation : 
o Doloplus – évaluation à faire en équipe sur une observation des comportements des dernières 24 heures 
o PACSLAC-F – échelle qui doit être complétée sur une période de 8h00
o ECPA – évaluation d’une douleur liée à un soin (dans ce cas Madame est encore installée dans son lit) ",,,,,
,,,,,,,,"mâchoires serrées, visage figé.",,,,,,,,,
,,,,,,,,Réponse : patiente grimace ou remontrer image « Patiente grimace »,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,2 Regard,,,,,,,,,
,,,,,,,,"Regard inattentif, fixe, lointain ou suppliant, pleurs,",,,,,,,,,
,,,,,,,,yeux fermés.,,,,,,,,,
,,,,,,,,Réponse : patiente à les yeux fermées ou remontrer image « Patiente grimace »,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,3 Plaintes,,,,,,,,,
,,,,,,,,"« Aie », « Ouille », « J’ai mal », gémissements, cris.",,,,,,,,,
,,,,,,,,Réponse :,,,,,,,,,
,,,,,,,,« la patiente gémit » ou faire réécouter l’audio « gémissement »,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,4 Corps,,,,,,,,,
,,,,,,,,"Retrait ou protection d’une zone, refus de",,,,,,,,,
,,,,,,,,"mobilisation, attitudes figées.",,,,,,,,,
,,,,,,,,Réponse : « la patiente ne se laisse pas toucher les hanches » ou remontrer l’image « Patiente penchée en avant »,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,5 Comportements,,,,,,,,,
,,,,,,,,"Agitation ou agressivité, agrippement",,,,,,,,,
,,,,,,,,"Réponse : « la patiente n’est pas agitée ou agressive, elle ne s’agrippe pas »",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Score Algoplus : 4 sur 5,,,,,,,,,
12,Prise de décision,X,,,« Je constate que vous avez mal. Je vais informer ma référente et je reviens ensuite vous voir »,Identifie que la patiente est algique et décide d’Informer la patiente qu’elle revient la voir après avoir échanger avec sa référente de la situation,"Image d’une infirmière 40 ans entrant dans une chambre d’un home

Voir Dossier ""Dictionnaire Images",« S’il vous plait aidez-moi »,"Après la phrase ""S'il vous plait aidez-moi"", Affciher le texte suivant :

""le score ALGOPLUS est de 4/5 vous devez :

1. Administrer un Panadol® à Mme Aubry : Cliquez sur « Panadol®» pour passer à l’étape suivante ==> Si clique sur icône ==> Afficher ""Les médicaments sont préscrit pas le médecin, vous devez en discuter avec votre référente""

2. Coucher Mme Aubry dans son lit pour la soulager : Cliquer sur ""Couché Mme Aubry"" ==> si clique sur icône ==> Afficher ""Il est nécessaire de faire vos transmissions à votre référente avant de mobiliser la patiente""

3. Avertir votre référente : Cliquez sur ""Appel Référente"" ==> peut passer à l'étape suivante qui fait apparaitre la référente","Après la 2ème tentative, si l'éutidant-e n'a pas avertit la référente 
Affciher le texte suivant :

""En avertissant votre référente, vous pourrez échanger sur la meileure stratégie à adopter dans l'intérêt de Mme Aubry""

Cliquez sur « J’ai compris » pour passer à l’étape suivante","Après la réponse « S’il vous plait aidez-moi », 
l’infirmière référente entre dans la chambre pour vérifier si l’étudiant-e a besoin d’aide :
« Alors, comment va Mme Aubrey ce matin ? »",,,,,,
13,Transmissions,X,,12,Utilisation de l’outil de transmission ISBAR,Utilise l’acronyme ISBAR (Identité - Situation-Contexte-Évaluation-Recommandation),Non,"1. Si utilisation de l’outil ISBAR, l’infirmière reformule le SBAR 1x terminé « Donc, je résume pour m’assurer d’avoir bien compris : «Madame Aubrey semble être algique. D’habitude elle est calme et participe aux repas sans difficulté.","Afficher d'emblée :

""Après avoir effectuer vos transmissions, veuillez cliquer sur l'icône ""Transmissions terminées""

Une fois que l'étudiant-e a cliqué sur l'icone ""Transmissions terminées"": 
1. Comme décrit à G, La référente reformule les transmissions, si l'outil SBAR a été correctement utilisé ==> Fin scénario, la référente dit ""Merci pour ton rapport, je vais poursiuvre avec l'examen pyhsique et transmettrai notre recueil de connées au medecin""

OU

2. Comme décrit à G, La référente signale ne pas avoir bien compris le rapport et demande l'utilisation du SBAR ==> Afficher le texte suivant : ""Vous devez comopléter les lettres manquantes, puis cliquez sur l'icône ""Amélioration des transmissions terminées"" = fin du scénario, la référente dit ""Merci pour ton rapport, je vais poursiuvre avec l'examen pyhsique et transmettrai notre recueil de connées au medecin""","Après la fin de la 2ème tentative, 
afficher le texte suivant :

""L’utilisation de la méthode ISBAR (Identifier, Situation, Background, Assessment, Recommendation) permet d’assurer une communication structurée, claire et sécurisée entre professionnels de santé. Elle favorise la transmission d’informations pertinentes et réduit les risques d’omission ou de malentendu, particulièrement dans les situations critiques ou lors des relais de soins. En standardisant le langage, l’ISBAR améliore la coordination interprofessionnelle, soutient la prise de décision clinique rapide et contribue à la sécurité du patient. Elle développe également la pensée clinique du soignant en l’incitant à synthétiser et prioriser les données essentielles avant toute communication.""

Cliquez sur « J’ai compris » pour clore le scénario","En dessous de l’image « infirmière 40 ans » 
Consigne : ""Effectuer les transmissions à votre référente""",Rappel des éléments à évoquer dans chaque étape de la transmission avec l'acronyme SBAR (Situation-Contexte-Évaluation-Recommandation) ,,,,,
,,,,,pas imoortatn si c'est pas dans l'ordre.  et ca peut etre que un seil bloc texte conent plusieurs points du ISBAR,,,"Mais depuis ce matin, tu as constaté qu’elle refuse de s’alimenter, qu’elle grimace régulièrement et émet des gémissements.",,,,,,,,,
,,,,,« S : Madame Aubrey présente actuellement des signes pouvant évoquer une douleur.,Doit citer à minima :,,Le score de l’échelle ALGOPLUS est de 4/5. Ce qui nécessite que l’on investigue plus l’origine de sa douleur et que l’on tente de la soulager. C’est bien ça ? »,,,,,,,,,
,,,,,B : Madame est habituellement calme et participe aux repas sans difficulté.,"Que la patiente est algique, qu’elle a un comportement différent à ses habitudes (ne veut pas manger, grimace et gémit). Si l’échelle algoplus a été réalisée, l’étudiant-e doit indiquer le score de 4/5. L’étudiant-e doit demander à sa référente qu’est-ce qui pourrait être fait pour soulager la patiente ou émettre des propositions visant à identifier et soulager la douleur de Mme Aubrey",,Réponse de l’étudiant-e : OUI è fin du scénario,,,,,,,,,
,,,,,"A : Depuis ce matin, j’ai observé un changement dans son comportement : elle refuse de s’alimenter, grimace régulièrement et émet des gémissements.",,,,,,,,,,,,
,,,,,"J’ai effectué une évaluation de la douleur à l’aide de l’échelle ALGOPLUS, qui a donné un score de 4, ce qui indique la présence probable de douleur aiguë.",,,,,,,,,,,,
,,,,,R : Je recommande une évaluation clinique plus approfondie afin d’identifier la cause de cette douleur et d’envisager une prise en charge adaptée. »,,,"2. S’il n’y pas d’utilisation de l’outil SBAR, l’infirmière référente dit « Je n’ai pas bien compris ton rapport, peux-tu me le faire en utilisant le SBAR », une fois le ISBAR effectué è Effectuer le point 1. de cette section",,,,,,,,,
,QUIIZ,,,,,,,,,,,,,,,,
,POURQUOI ALGOPLUS,,,,,,,,,,,,,,,,
,POURQUOI QPERSUT EST PERTINENT OU NON,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,FAITES TRANSMISSION ECRITE POUR VOTRE PATIENTE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ATTRAKDIF QUESTIONNAIRE  UTILISALITE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,PRE / POST TEST CONNAISSANCE METIER,,,,,,,,,,,,,,,,
